Date,Open,High,Low,Close,Adj Close,Volume
2023-05-18,0.009652,0.009664,0.009428,0.009489,0.009489,1436026
2023-05-19,0.009495,0.009630,0.009477,0.009554,0.009554,1401813
2023-05-20,0.009559,0.009750,0.009546,0.009618,0.009618,2541780
2023-05-21,0.009627,0.009658,0.009397,0.009407,0.009407,1468886
2023-05-22,0.009409,0.009421,0.009232,0.009301,0.009301,1527345
2023-05-23,0.009297,0.009489,0.009290,0.009365,0.009365,1785994
2023-05-24,0.009365,0.009371,0.008946,0.009124,0.009124,2166587
2023-05-25,0.009118,0.009118,0.008789,0.008827,0.008827,2130994
2023-05-26,0.008826,0.008961,0.008721,0.008932,0.008932,1318590
2023-05-27,0.008931,0.008938,0.008847,0.008915,0.008915,964066
2023-05-28,0.008914,0.009159,0.008900,0.009130,0.009130,1432608
2023-05-29,0.009130,0.009184,0.009018,0.009053,0.009053,1293669
2023-05-30,0.009057,0.009158,0.009001,0.009005,0.009005,1490349
2023-05-31,0.009005,0.009032,0.008778,0.008871,0.008871,1435274
2023-06-01,0.008871,0.008903,0.008679,0.008754,0.008754,1430183
2023-06-02,0.008757,0.009860,0.008745,0.009421,0.009421,8850693
2023-06-03,0.009421,0.009427,0.009124,0.009150,0.009150,2283669
2023-06-04,0.009151,0.009312,0.009108,0.009177,0.009177,1066230
2023-06-05,0.009177,0.009178,0.008252,0.008359,0.008359,2164057
2023-06-06,0.008361,0.008931,0.008201,0.008658,0.008658,13040761
2023-06-07,0.008661,0.008663,0.008210,0.008257,0.008257,1728497
2023-06-08,0.008266,0.008276,0.008109,0.008160,0.008160,1200497
2023-06-09,0.008162,0.008980,0.008103,0.008366,0.008366,7944793
2023-06-10,0.008366,0.008380,0.007078,0.007253,0.007253,3622289
2023-06-11,0.007258,0.007394,0.007215,0.007301,0.007301,1320391
2023-06-12,0.007301,0.007309,0.007106,0.007236,0.007236,1339731
2023-06-13,0.007235,0.007454,0.007181,0.007273,0.007273,1325469
2023-06-14,0.007273,0.007348,0.006984,0.007061,0.007061,1634528
2023-06-15,0.007047,0.007120,0.006926,0.007114,0.007114,2096340
2023-06-16,0.007120,0.007258,0.007018,0.007238,0.007238,1091971
2023-06-17,0.007237,0.007368,0.007186,0.007311,0.007311,990116
2023-06-18,0.007319,0.007627,0.007303,0.007527,0.007527,4611034
2023-06-19,0.007540,0.007540,0.007342,0.007476,0.007476,1481117
2023-06-20,0.007477,0.007620,0.007395,0.007606,0.007606,1610163
2023-06-21,0.007590,0.007912,0.007577,0.007895,0.007895,2093511
2023-06-22,0.007913,0.008122,0.007891,0.008021,0.008021,1972806
2023-06-23,0.008020,0.008389,0.007995,0.008360,0.008360,2022598
2023-06-24,0.008365,0.008599,0.008281,0.008531,0.008531,1778300
2023-06-25,0.008526,0.008783,0.008315,0.008336,0.008336,3601049
2023-06-26,0.008339,0.009102,0.008186,0.008900,0.008900,12640775
2023-06-27,0.008894,0.009272,0.008588,0.008809,0.008809,6279807
2023-06-28,0.008803,0.008814,0.008178,0.008203,0.008203,2718866
2023-06-29,0.008204,0.008393,0.008195,0.008288,0.008288,1440301
2023-06-30,0.008286,0.008675,0.008231,0.008641,0.008641,2726495
2023-07-01,0.008642,0.011689,0.008638,0.008955,0.008955,42999409
2023-07-02,0.008949,0.008961,0.008589,0.008667,0.008667,4846401
2023-07-03,0.008668,0.008740,0.008464,0.008661,0.008661,3816161
2023-07-04,0.008661,0.008712,0.008488,0.008618,0.008618,2322474
2023-07-05,0.008621,0.008853,0.008388,0.008448,0.008448,3093660
